&nbsp;,Men,Women
		2000,54%,50%
		2001,57%,53%
		2002,61%,57%
		2003,63%,60%
		2004,66%,61%
		2005,69%,67%
		2006,72%,70%
		2007,75%,73%
		2008,74%,73%
		2009,77%,75%
		2010,77%,76%
		2011,80%,78%
		2012,83%,82%
		2013,84%,84%
		2014,84%,84%
		2015,86%,86%
		2016,89%,86%
		2018,89%,88%
		2019,90%,91%
		2021,94%,93%
